Comment Id;Date / Time;Message;Likes;Comments
10157361185413044_10157361186068044;24.06.2019 12:14;Jinjer!!!👌🏼💪🏽🤘🏼🤘🏼🤘🏼;1;0
10157361185413044_10157361186483044;24.06.2019 12:14;Rammstein🤟🏼;2;0
10157361185413044_10157361186488044;24.06.2019 12:14;Foo Figters 😏🤘;0;0
10157361185413044_10157361186573044;24.06.2019 12:14;Rammstein;2;0
10157361185413044_10157361186663044;24.06.2019 12:14;Mr. Irish Bastard;0;0
10157361185413044_10157361186688044;24.06.2019 12:14;Hammerfall;1;0
10157361185413044_10157361186758044;24.06.2019 12:14;Rammstein, Bring me the Horizon 🙊🙉;1;0
10157361185413044_10157361186873044;24.06.2019 12:14;Stahlgewitter;4;21
10157361185413044_10157361186893044;24.06.2019 12:14;Volbeat und Parkway Drive🤘🏻;2;3
10157361185413044_10157361186953044;24.06.2019 12:14;Foo fighters;0;0
10157361185413044_10157361186958044;24.06.2019 12:14;Rammstein/Slipknot/Die Ärzte/Skindred/Amon Amarth..;5;0
10157361185413044_10157361187108044;24.06.2019 12:15;Slipknot!!!!;0;0
10157361185413044_10157361187163044;24.06.2019 12:15;Iron Maiden🤘🤘🤘🤘🤘❤️❤️❤️❤️❤️;3;0
10157361185413044_10157361187218044;24.06.2019 12:15;Audrey Horne !!! 🤩 🇳🇴;0;0
10157361185413044_10157361187368044;24.06.2019 12:15;Hanggai, scars on broadway, the dreadnoughts, Die ärzte;0;0
10157361185413044_10157361187393044;24.06.2019 12:15;"Rammstein 
Amon amarth";4;0
10157361185413044_10157361187518044;24.06.2019 12:15;Irony Of Fate;5;0
10157361185413044_10157361187543044;24.06.2019 12:15;Daniel Matter los chasch wünsche😋;0;0
10157361185413044_10157361187563044;24.06.2019 12:15;With One Word 🔥🔥;0;0
10157361185413044_10157361187573044;24.06.2019 12:15;Die Ärzte;4;0
10157361185413044_10157361187583044;24.06.2019 12:15;Rammstein 🤪;0;0
10157361185413044_10157361187593044;24.06.2019 12:15;With One Word 🔥🔥;2;0
10157361185413044_10157361187638044;24.06.2019 12:15;Clawfinger!!;3;0
10157361185413044_10157361187738044;24.06.2019 12:15;avenged sevenfold shüsh chumi eif nid;4;3
10157361185413044_10157361187753044;24.06.2019 12:15;THE GHOST INSIDE 😍😍 und WBTBWB 😍;0;0
10157361185413044_10157361187758044;24.06.2019 12:15;Gojira!!!;4;0
10157361185413044_10157361187763044;24.06.2019 12:15;Rammstein, Volbeat, Billy Talent, Feuerschwanz;7;2
10157361185413044_10157361187768044;24.06.2019 12:15;Greta Van Fleet;2;0
10157361185413044_10157361187813044;24.06.2019 12:15;;8;0
10157361185413044_10157361187818044;24.06.2019 12:15;Es wird langsam Zeit für QL!;19;0
10157361185413044_10157361187853044;24.06.2019 12:15;Suicide Comando;1;0
10157361185413044_10157361187943044;24.06.2019 12:15;RAMSTEIN/SLIPKNOT;0;2
10157361185413044_10157361188013044;24.06.2019 12:15;Excelsis, Pertness, Feuerschwanz, A.F. Punkrock (feat. Lüüsbüebu);0;0
10157361185413044_10157361188053044;24.06.2019 12:15;System of a Down;36;0
10157361185413044_10157361188078044;24.06.2019 12:15;The Cult 🔥🔥;0;0
10157361185413044_10157361188118044;24.06.2019 12:15;Orbit Culture , Dark Tranquillity , Rammstein , Die Ärzte;1;0
10157361185413044_10157361188123044;24.06.2019 12:15;Michel Menzi  armseelig;3;0
10157361185413044_10157361188183044;24.06.2019 12:16;Thy art is murder🤘😁🎸;0;0
10157361185413044_10157361188543044;24.06.2019 12:16;Avenged Sevenfold;4;0
10157361185413044_10157361188578044;24.06.2019 12:16;The Black Keys;0;0
10157361185413044_10157361188583044;24.06.2019 12:16;System of a Down😄;5;0
10157361185413044_10157361188648044;24.06.2019 12:16;Rammstein;1;0
10157361185413044_10157361188663044;24.06.2019 12:16;"The royal
I prevail
Die ärzte
Nasty!!!";6;0
10157361185413044_10157361188743044;24.06.2019 12:16;Expellow;3;0
10157361185413044_10157361188808044;24.06.2019 12:16;Flogging Molly;0;0
10157361185413044_10157361188878044;24.06.2019 12:16;Ignacio Fernandez 🙋‍♀️🙋‍♀️;0;0
10157361185413044_10157361188908044;24.06.2019 12:16;En chlyneri schwiizer Band: Devils Rage 🤘🏻;7;0
10157361185413044_10157361189183044;24.06.2019 12:16;Saxon 🤟;1;0
10157361185413044_10157361189223044;24.06.2019 12:16;Tenacious D!!;2;0
10157361185413044_10157361189333044;24.06.2019 12:16;Rammstein/ Dream state/ I prevail;0;0
10157361185413044_10157361189343044;24.06.2019 12:16;Jinjer / Anterior / Mastodon / Project 46 / Gojira;1;0
10157361185413044_10157361189348044;24.06.2019 12:16;I Prevail;1;0
10157361185413044_10157361189358044;24.06.2019 12:16;Rammstein;1;0
10157361185413044_10157361189378044;24.06.2019 12:16;Avenged Sevenfold  Parkway Drive In Extremo 🤘;3;0
10157361185413044_10157361189618044;24.06.2019 12:16;Fabian Jäggi ALESTORM!;5;0
10157361185413044_10157361189628044;24.06.2019 12:16;Volbeat und die Ärzte;1;0
10157361185413044_10157361189723044;24.06.2019 12:17;Clawfinger, the Lazys, Booze and Glory !!!;9;0
10157361185413044_10157361189783044;24.06.2019 12:17;Rammstein, Parkway Drive, Volbeat, Bad Wolves, Breaking Benjamin, Architects😍;8;3
10157361185413044_10157361189808044;24.06.2019 12:17;Zeal and Ardor , Tenacious d, die Ärzte;1;0
10157361185413044_10157361189858044;24.06.2019 12:17;In Extremo / Equilibrium / Finntroll;1;0
10157361185413044_10157361190033044;24.06.2019 12:17;Circle Of Execution, Korn;9;0
10157361185413044_10157361190038044;24.06.2019 12:17;Metallica;2;0
10157361185413044_10157361190063044;24.06.2019 12:17;Rammstein, GreenDay, Die Ärzte;12;0
10157361185413044_10157361190133044;24.06.2019 12:17;Volbeat, Ensiferum, Iron Maiden, Corvus Corax, Harpyie, Mono Inc.🖤🤘🏻🤘🏻;5;1
10157361185413044_10157361190153044;24.06.2019 12:17;5fdp 😎🤘;1;0
10157361185413044_10157361190163044;24.06.2019 12:17;Die Kassierer 😂 Knorkator;3;0
10157361185413044_10157361190203044;24.06.2019 12:17;J.B.O;0;0
10157361185413044_10157361190248044;24.06.2019 12:17;Our Last Night/ Rammstein;1;0
10157361185413044_10157361190338044;24.06.2019 12:17;Slipknot / 5 Finger Death Punch / Volbeat / Broilers / Saltatio Mortis / in Extremo / Avenged Sevenfold;2;0
10157361185413044_10157361190413044;24.06.2019 12:17;Freezes Deyna Unified Move🙌🏼;3;0
10157361185413044_10157361190743044;24.06.2019 12:17;Green Day;0;0
10157361185413044_10157361190798044;24.06.2019 12:17;System of a down;1;0
10157361185413044_10157361190978044;24.06.2019 12:18;Rammstein, Bring me the Horizon, sum 41, Greenday, ärzte;0;0
10157361185413044_10157361191088044;24.06.2019 12:18;Ronnie Schlegel  das ganze Zeckefestival ja 😂😂👌🏻;0;0
10157361185413044_10157361191288044;24.06.2019 12:18;Social Distortion!!!;0;0
10157361185413044_10157361191363044;24.06.2019 12:18;Ärzte, Rammstein, metallica;43;0
10157361185413044_10157361191403044;24.06.2019 12:18;Joan Jett and the Blackhearts;2;0
10157361185413044_10157361191408044;24.06.2019 12:18;Slipknot, Amon Amarth, Nightwish, Ensiferum;0;0
10157361185413044_10157361191423044;24.06.2019 12:18;Stephan Roth;0;0
10157361185413044_10157361191508044;24.06.2019 12:18;Korn, Flogging Molly, Avenged Sevenfold;3;1
10157361185413044_10157361191528044;24.06.2019 12:18;Sabrina Wanner Breaking Benjamin war geil. Ist das aber nicht Punk?;0;0
10157361185413044_10157361191633044;24.06.2019 12:18;Halt die selben wie jedes Jahr, was anderes ist eh nicht zu erwarten.;2;1
10157361185413044_10157361191663044;24.06.2019 12:18;Foo Fighters;1;0
10157361185413044_10157361191703044;24.06.2019 12:18;Rammstein, vision of atlantis, kamelott, epica, nightwish, xandria;0;0
10157361185413044_10157361191748044;24.06.2019 12:18;In extremo,iron maiden, rammstein, ale storm,eluveitie;2;0
10157361185413044_10157361191753044;24.06.2019 12:18;Muse;1;0
10157361185413044_10157361191818044;24.06.2019 12:18;Ensiferum, Rammstein, slipknot, Five Finger death punch ❤️;0;0
10157361185413044_10157361191958044;24.06.2019 12:18;Undead Corporation;1;0
10157361185413044_10157361192003044;24.06.2019 12:18;Rammstein;0;0
10157361185413044_10157361192008044;24.06.2019 12:18;Thibaud Monney Jérôme Hayoz powertampax;1;0
10157361185413044_10157361192073044;24.06.2019 12:18;Hellyeah, Ensiferum;3;0
10157361185413044_10157361192128044;24.06.2019 12:18;The plot in you🖤❤🖤;1;0
10157361185413044_10157361192133044;24.06.2019 12:18;Rammstein, Bad Wolves und 3 Doors Down;0;0
10157361185413044_10157361192193044;24.06.2019 12:18;Rammstein, System Of A Down, The Dose, Sum 41, Five Finger Death Punch :);2;0
10157361185413044_10157361192243044;24.06.2019 12:18;Asking Alexandria, Papa Roach, Alien Ant Farm, i Prevail, a Day to Remember;5;0
10157361185413044_10157361192253044;24.06.2019 12:18;parkway drive;12;0
10157361185413044_10157361192413044;24.06.2019 12:18;Tenacious D;2;0
10157361185413044_10157361192488044;24.06.2019 12:19;Majestica, Avenged Sevenfold, The pretty Reckless, Memories Of Old, Bloodbound, Dynazty, Shinedown ....🤘😁;1;0
10157361185413044_10157361192513044;24.06.2019 12:19;Red sun rising;0;0
10157361185413044_10157361192603044;24.06.2019 12:19;Bad Cop🔥;0;0
10157361185413044_10157361192728044;24.06.2019 12:19;paddy and the rats, the dreadnoughts, mr. hurley und dir pulveraffen, we butter the bread with butter, ye banished privateers,;1;1
10157361185413044_10157361192733044;24.06.2019 12:19;Parkway Drive/Slipknot/Rammstein/Oomph/Stone Sour/5fdp/J.B.O/Korn/Metallica...;0;0
10157361185413044_10157361192768044;24.06.2019 12:19;Alestorm 😂;0;0
10157361185413044_10157361192778044;24.06.2019 12:19;Terror / Madball;0;0
10157361185413044_10157361192903044;24.06.2019 12:19;🔥🔥🔥 System of a Down 🔥🔥🔥 Rammstein 🔥🔥🔥 Korn 🔥🔥🔥 Volbeat 🔥🔥🔥 Green Day 🔥🔥🔥;6;0
10157361185413044_10157361192943044;24.06.2019 12:19;Tenacious D;2;0
10157361185413044_10157361192993044;24.06.2019 12:19;Benjamin Jäggi Dani Wohlgemuth Michel Weber Andi Berger Martin Gröger;0;0
10157361185413044_10157361193013044;24.06.2019 12:19;Broilers SCHMUTZKI Metallica Rammstein böhse onkelz WIZO;2;0
10157361185413044_10157361193028044;24.06.2019 12:19;"Volbeat
Ensiferum
Equilibrium
Brothers of Metal
Follow The Cipher
Burning Witches";0;0
10157361185413044_10157361193128044;24.06.2019 12:19;Martin A. Gyger Steel Panther😏;3;1
10157361185413044_10157361193193044;24.06.2019 12:19;Any Given Day;7;0
10157361185413044_10157361193218044;24.06.2019 12:19;rammstein, volbeat, die ärzte, five finger death punch, bad wolves, eisbrecher;2;0
10157361185413044_10157361193233044;24.06.2019 12:19;".
ARCHITECTS
Adept
Any Given Day 
Blessthefall
The Word Alive 
Imminence
Behind Blue Eyes
Of Virtue 
Our Mirage 
 I Prevail
.";2;0
10157361185413044_10157361193238044;24.06.2019 12:19;AS I LAY DYING and EVERGREY 😍👌🏼;0;0
