Message,Likes,Comments
Jinjer   ,1,0
Rammstein,2,0
Foo Figters ,0,0
Rammstein,2,0
Mr. Irish Bastard,0,0
Hammerfall,1,0
"Rammstein, Bring me the Horizon ",1,0
Stahlgewitter,4,21
Volbeat und Parkway Drive,2,3
Foo fighters,0,0
Rammstein Slipknot Die rzte Skindred Amon Amarth..,5,0
Slipknot    ,0,0
Iron Maiden,3,0
Audrey Horne      ,0,0
"Hanggai, scars on broadway, the dreadnoughts, Die rzte",0,0
"Rammstein 
Amon amarth",4,0
Irony Of Fate,5,0
Daniel Matter los chasch wnsche,0,0
With One Word ,0,0
Die rzte,4,0
Rammstein ,0,0
With One Word ,2,0
Clawfinger  ,3,0
avenged sevenfold shsh chumi eif nid,4,3
THE GHOST INSIDE  und WBTBWB ,0,0
Gojira   ,4,0
"Rammstein, Volbeat, Billy Talent, Feuerschwanz",7,2
Greta Van Fleet,2,0
nan,8,0
Es wird langsam Zeit fr QL ,19,0
Suicide Comando,1,0
RAMSTEIN SLIPKNOT,0,2
"Excelsis, Pertness, Feuerschwanz, A.F. Punkrock (feat. Lsbebu)",0,0
System of a Down,36,0
The Cult ,0,0
"Orbit Culture , Dark Tranquillity , Rammstein , Die rzte",1,0
Michel Menzi  armseelig,3,0
Thy art is murder,0,0
Avenged Sevenfold,4,0
The Black Keys,0,0
System of a Down,5,0
Rammstein,1,0
"The royal
I prevail
Die rzte
Nasty   ",6,0
Expellow,3,0
Flogging Molly,0,0
Ignacio Fernandez ,0,0
En chlyneri schwiizer Band: Devils Rage ,7,0
Saxon ,1,0
Tenacious D  ,2,0
Rammstein  Dream state  I prevail,0,0
Jinjer   Anterior   Mastodon   Project 46   Gojira,1,0
I Prevail,1,0
Rammstein,1,0
Avenged Sevenfold  Parkway Drive In Extremo ,3,0
Fabian Jggi ALESTORM ,5,0
Volbeat und die rzte,1,0
"Clawfinger, the Lazys, Booze and Glory    ",9,0
"Rammstein, Parkway Drive, Volbeat, Bad Wolves, Breaking Benjamin, Architects",8,3
"Zeal and Ardor , Tenacious d, die rzte",1,0
In Extremo   Equilibrium   Finntroll,1,0
"Circle Of Execution, Korn",9,0
Metallica,2,0
"Rammstein, GreenDay, Die rzte",12,0
"Volbeat, Ensiferum, Iron Maiden, Corvus Corax, Harpyie, Mono Inc.",5,1
5fdp ,1,0
Die Kassierer  Knorkator,3,0
J.B.O,0,0
Our Last Night  Rammstein,1,0
Slipknot   5 Finger Death Punch   Volbeat   Broilers   Saltatio Mortis   in Extremo   Avenged Sevenfold,2,0
Freezes Deyna Unified Move,3,0
Green Day,0,0
System of a down,1,0
"Rammstein, Bring me the Horizon, sum 41, Greenday, rzte",0,0
Ronnie Schlegel  das ganze Zeckefestival ja ,0,0
Social Distortion   ,0,0
"rzte, Rammstein, metallica",43,0
Joan Jett and the Blackhearts,2,0
"Slipknot, Amon Amarth, Nightwish, Ensiferum",0,0
Stephan Roth,0,0
"Korn, Flogging Molly, Avenged Sevenfold",3,1
Sabrina Wanner Breaking Benjamin war geil. Ist das aber nicht Punk ,0,0
"Halt die selben wie jedes Jahr, was anderes ist eh nicht zu erwarten.",2,1
Foo Fighters,1,0
"Rammstein, vision of atlantis, kamelott, epica, nightwish, xandria",0,0
"In extremo,iron maiden, rammstein, ale storm,eluveitie",2,0
Muse,1,0
"Ensiferum, Rammstein, slipknot, Five Finger death punch ",0,0
Undead Corporation,1,0
Rammstein,0,0
Thibaud Monney Jrme Hayoz powertampax,1,0
"Hellyeah, Ensiferum",3,0
The plot in you,1,0
"Rammstein, Bad Wolves und 3 Doors Down",0,0
"Rammstein, System Of A Down, The Dose, Sum 41, Five Finger Death Punch :)",2,0
"Asking Alexandria, Papa Roach, Alien Ant Farm, i Prevail, a Day to Remember",5,0
parkway drive,12,0
Tenacious D,2,0
"Majestica, Avenged Sevenfold, The pretty Reckless, Memories Of Old, Bloodbound, Dynazty, Shinedown ....",1,0
Red sun rising,0,0
Bad Cop,0,0
"paddy and the rats, the dreadnoughts, mr. hurley und dir pulveraffen, we butter the bread with butter, ye banished privateers,",1,1
Parkway Drive Slipknot Rammstein Oomph Stone Sour 5fdp J.B.O Korn Metallica...,0,0
Alestorm ,0,0
Terror   Madball,0,0
 System of a Down  Rammstein  Korn  Volbeat  Green Day ,6,0
Tenacious D,2,0
Benjamin Jggi Dani Wohlgemuth Michel Weber Andi Berger Martin Grger,0,0
Broilers SCHMUTZKI Metallica Rammstein bhse onkelz WIZO,2,0
"Volbeat
Ensiferum
Equilibrium
Brothers of Metal
Follow The Cipher
Burning Witches",0,0
Martin A. Gyger Steel Panther,3,1
Any Given Day,7,0
"rammstein, volbeat, die rzte, five finger death punch, bad wolves, eisbrecher",2,0
".
ARCHITECTS
Adept
Any Given Day 
Blessthefall
The Word Alive 
Imminence
Behind Blue Eyes
Of Virtue 
Our Mirage 
 I Prevail
.",2,0
AS I LAY DYING and EVERGREY ,0,0
"Rammstein, die rzte",14,0
Breaking Benjamin,0,0
Rotting Christ ,0,0
"Palaye royale., und  Beyond the black",0,0
"Rammstein,volbeat,system of a down,five finger death punch",0,0
Korn,3,0
PARKWAY DRIVE  und frmi Schatz Fabian Jggi Alestorm ,1,0
Mad Sox,3,0
"Sabaton, System of a Down, Lagerstein, Alestorm, Gloryhammer, Rammstein",1,0
Scheiss Nazis will am Greenfield niemand   Du vollhonk  ,4,0
Hellyeah,0,0
SUICIDAL TENDENCIES    ,1,0
SUICIDAL TENDENCIES    ,0,0
Fire Rose,2,0
Excelsis,10,0
Tenacious D,2,0
"Rammstein, guns n' roses,  avenged sevenfold, SOAD,  Dead by april, korn etc...",1,0
"All Time Low, Holding Absence, Waterparks, As It Is, Yungblud, Sink or Swim, All To Get Her, ... ",3,0
The Meseeks,8,0
Du machst es uns aber einfach dich zu finden Michel Menzi.,1,0
Rammstein,2,0
"System of a down
Korn
Scars on broadway",45,0
System Of A Down,0,0
"Was noch nicht da war:
The Royal, I Prevail, Starset, Slaves, Volumes, SHVPES, Palisades, Shrezzers, Imminence, Alazka, Bad Omens, Fever 333, To The Rats And Wolves, The Word Alive, Too Close To Touch, Crystal Lake, Nothing More, Crown The Empire, Crossfaith, I See Stars, Motionless In White, Dream On Dreamer (werde die Liste noch updaten)",16,4
System OF A Down   ,1,0
JESTERS QUEST    ,1,1
"Rammstein, Volbeat, Five fingers death Punch, Combichrist, Frei Wild, Hatebreed",1,0
"Sondaschule, feine sahnecfischfilet, in extremo, rammstein, system of a down, die rzte, metallica, me first and the gimmes gimmes",4,0
Megadeth,0,0
"GHOST, amon amarth, billy talent, lamb of god, airbourne, iron maiden, prophets of rage, Ghost,  avenged sevenfold, eagles of death metal, queens of the stone age, ensiferum, the flatliners, GHOST     , in extremo, metallica, red fang, russkaja, sum 41, the sorrow, trivium, system of a down",8,2
"Gojira, As I Lay Dying, Ye Banished Privateers",0,0
Streetlight Manifesto ,0,0
FEVER 333 ,0,0
"Dreamshade, End Of Silence, Annisokay, Cypecore, Beyond the Black, The Qemists",0,0
"Paolo nutini, sum41, blink182, hosen immer wieder gut",2,0
"Rammstein, Nightwish,  Disturbed ",0,0
Davidov Alcoholovic Will au niemer cho xD,0,0
In Extremo,5,0
"Die rzte, As I Lay Dying, SHVPES, In Flames, Sharks in Your Mouth, Dreamshade, Rise Against, Enter Shikari, Fit For a King, Of Virtue usw.",1,0
"Alter Bridge, Tenacoius D, Green Day, Airbourne, Billy Talent, Royal Blood.
Gebt doch auch vielen Jungen Schweizer Bands mal die chance sich zu beweisen  ",25,3
"avenged sevenfold, asking alexandria, trivium, nothing more, bury tomorrow, reel big fish, offspring, bullet for my valentine",2,0
"Mayhem, Abbath, Phil Anselmo and the illegals, Machine Head",3,0
The killers,2,0
"Norvhar, AM:PM, Anachronism, Rage Of Light, Nodafreth",4,3
Metalicaa. Iron maiden. Volbeat. Green Day. Nightwish. Offspring. Sabaton,0,0
"Burning Witches, Metallica , Disturbed",2,0
Moritz Zwerenz na so viel ich weiss gnd sie unter metal.. ,0,0
"Avenged sevenfold, amon amarth, inflames, stone sour, korn, system of a down, iced earth.",11,0
ensiferum,2,0
"Rammstein
Five Finger Death Punch
Rose Tattoo
In Extremo",47,4
Green day ,1,0
Tool,3,0
Samarra Morgan Pulveraffen hell yes,1,0
"ILLUMENIUM
Killer
Kilmister
Burning Witches
Broken Fate
Massive Ego
Iron Horses
Excelsis
Metalica
Bhse Onkelz
Frei.Wild
Toil
Maxxwell",4,2
Five Finger Death Punch,5,0
Beat Breit Oh nei  ,0,0
https:  www.youtube.com watch v=30SWtsUxNzk&list=PLl5fdaX3BLkCfmBlHM9RTZh8ANW_Vhu4q,0,0
