Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361186068044,2019-06-24 12:14:05,,,Jinjer!!!👌🏼💪🏽🤘🏼🤘🏼🤘🏼,1,0
10157361185413044_10157361186483044,2019-06-24 12:14:21,,,Rammstein🤟🏼,3,4
10157361185413044_10157361186488044,2019-06-24 12:14:21,,,Foo Figters 😏🤘,0,0
10157361185413044_10157361186573044,2019-06-24 12:14:28,,,Rammstein,3,0
10157361185413044_10157361186663044,2019-06-24 12:14:33,,,Mr. Irish Bastard,0,0
10157361185413044_10157361186688044,2019-06-24 12:14:33,,,Hammerfall,1,0
10157361185413044_10157361186758044,2019-06-24 12:14:38,,,"Rammstein, Bring me the Horizon 🙊🙉",1,0
10157361185413044_10157361186873044,2019-06-24 12:14:47,,,Stahlgewitter,4,21
10157361185413044_10157361186893044,2019-06-24 12:14:48,,,Volbeat und Parkway Drive🤘🏻,2,3
10157361185413044_10157361186953044,2019-06-24 12:14:51,,,Foo fighters,0,0
10157361185413044_10157361186958044,2019-06-24 12:14:52,,,Rammstein/Slipknot/Die Ärzte/Skindred/Amon Amarth..,5,0
10157361185413044_10157361187108044,2019-06-24 12:15:00,,,Slipknot!!!!,0,0
10157361185413044_10157361187163044,2019-06-24 12:15:02,,,Iron Maiden🤘🤘🤘🤘🤘❤️❤️❤️❤️❤️,3,0
10157361185413044_10157361187218044,2019-06-24 12:15:05,,,Audrey Horne !!! 🤩 🇳🇴,0,0
10157361185413044_10157361187368044,2019-06-24 12:15:15,,,"Hanggai, scars on broadway, the dreadnoughts, Die ärzte",0,0
10157361185413044_10157361187393044,2019-06-24 12:15:17,,,"Rammstein 
Amon amarth",5,0
10157361185413044_10157361187518044,2019-06-24 12:15:23,,,Irony Of Fate,5,0
10157361185413044_10157361187543044,2019-06-24 12:15:25,,,Daniel Matter los chasch wünsche😋,0,0
10157361185413044_10157361187563044,2019-06-24 12:15:26,,,With One Word 🔥🔥,0,0
10157361185413044_10157361187573044,2019-06-24 12:15:27,,,Die Ärzte,4,0
10157361185413044_10157361187583044,2019-06-24 12:15:27,,,Rammstein 🤪,1,0
10157361185413044_10157361187593044,2019-06-24 12:15:27,,,With One Word 🔥🔥,2,0
10157361185413044_10157361187638044,2019-06-24 12:15:28,,,Clawfinger!!,3,0
10157361185413044_10157361187738044,2019-06-24 12:15:33,,,avenged sevenfold shüsh chumi eif nid,4,3
10157361185413044_10157361187753044,2019-06-24 12:15:33,,,THE GHOST INSIDE 😍😍 und WBTBWB 😍,0,0
10157361185413044_10157361187758044,2019-06-24 12:15:33,,,Gojira!!!,4,0
10157361185413044_10157361187763044,2019-06-24 12:15:34,,,"Rammstein, Volbeat, Billy Talent, Feuerschwanz",8,2
10157361185413044_10157361187768044,2019-06-24 12:15:34,,,Greta Van Fleet,2,0
10157361185413044_10157361187813044,2019-06-24 12:15:35,,,,8,0
10157361185413044_10157361187818044,2019-06-24 12:15:35,,,Es wird langsam Zeit für QL!,20,0
10157361185413044_10157361187853044,2019-06-24 12:15:39,,,Suicide Comando,1,0
10157361185413044_10157361187943044,2019-06-24 12:15:42,,,RAMSTEIN/SLIPKNOT,0,2
10157361185413044_10157361188013044,2019-06-24 12:15:46,,,"Excelsis, Pertness, Feuerschwanz, A.F. Punkrock (feat. Lüüsbüebu)",0,0
10157361185413044_10157361188053044,2019-06-24 12:15:49,,,System of a Down,41,0
10157361185413044_10157361188078044,2019-06-24 12:15:51,,,The Cult 🔥🔥,0,0
10157361185413044_10157361188118044,2019-06-24 12:15:53,,,"Orbit Culture , Dark Tranquillity , Rammstein , Die Ärzte",2,0
10157361185413044_10157361188123044,2019-06-24 12:15:54,,,Michel Menzi  armseelig,3,0
10157361185413044_10157361188183044,2019-06-24 12:16:00,,,Thy art is murder🤘😁🎸,0,0
10157361185413044_10157361188543044,2019-06-24 12:16:07,,,Avenged Sevenfold,4,0
10157361185413044_10157361188578044,2019-06-24 12:16:08,,,The Black Keys,0,0
10157361185413044_10157361188583044,2019-06-24 12:16:09,,,System of a Down😄,5,0
